season,week,team,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance
2025,1,DET,REG,GB,31,39,225,1,1,4,-25,0,0,163,121,13,1.37437785789473,11.3394189037775,0,22,46,0,0,0,2,-5.36015619139653,0,31,38,225,1,0,0,163,121,13,9.9833752406422,0,0,32,2,18,2,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,7,40,2,2,19,5,116,2,2,0,0,30,1,0,1,1,0,0,0,0,0,0,0,0,0,30;27,,,57,0,0,1,1,0,0,1,0,0,0,0,0
2025,1,GB,REG,DET,16,22,188,2,0,0,0,0,0,253,39,8,10.0652942520307,13.0749403075738,0,25,78,1,0,0,4,-2.42074726870506,0,16,22,188,2,0,0,253,39,8,10.0652942520307,0,0,38,5,41,9,32,0,4,25,9,1,0,2,0,0,0,0,0,0,0,0,0,4,40,3,3,32,2,39,2,2,0,0,38,1,0,0,2,0,0,0,0,0,0,0,0,0,34;38,,,72,0,0,3,3,0,0,1,0,0,0,0,0
2025,1,HOU,REG,LA,19,27,188,0,1,3,-37,0,0,172,73,7,-4.06503334495876,-0.974656144777934,0,27,114,0,0,0,8,1.05189647209433,0,19,27,188,0,1,1,172,73,7,-2.5317566292891,0,0,35,3,23,5,42,1,3,21,6,0,0,1,0,0,0,0,0,0,1,1,0,11,80,4,2,20,1,11,3,3,0,0,53,1,0,0,0,1,2,0,0,0,0,0,0,0,51;45;53,,,149,0,0,0,0,0,0,,0,0,0,0,0
2025,1,IND,REG,MIA,22,29,272,1,0,1,-10,0,0,196,112,14,12.997713351083,5.38834302589811,0,40,156,2,0,0,11,5.52206456715463,0,22,29,272,1,0,0,196,112,14,14.7199118956188,0,0,26,2,24,4,16,1,3,13,6,2,20,5,0,0,0,0,0,0,1,1,0,4,45,3,0,0,1,27,4,4,0,0,48,1,0,2,1,1,0,0,0,0,0,0,0,0,24;35;28;48,,,135,0,0,3,3,0,0,1,0,0,0,0,0
2025,1,JAX,REG,CAR,19,31,178,1,1,0,0,0,0,223,80,9,1.31311294837381,-4.05406242814557,0,32,200,1,0,0,11,6.58218051100444,0,19,29,178,1,0,0,223,80,9,3.19819411332013,0,0,29,0,32,2,13,1,1,12,5,2,0,9,0,0,0,0,0,0,1,1,0,11,93,3,1,7,2,32,4,4,0,0,47,1,0,1,2,1,0,0,0,0,0,0,0,0,35;47;36;28,,,146,0,0,2,2,0,0,1,0,0,0,0,0
2025,1,KC,REG,LAC,24,39,258,1,0,2,-9,0,0,271,116,9,3.44855267898629,-5.99277631232613,0,17,98,1,0,0,8,8.90644093829906,0,24,38,258,1,0,0,271,116,9,5.57010922007802,0,0,40,2,18,6,17,1,3,14,4,0,0,2,0,0,0,0,1,1,0,0,0,10,71,6,2,7,5,147,3,3,0,0,59,1,0,1,1,0,1,0,0,0,0,0,0,0,35;59;27,,,121,0,0,0,1,1,0,0,0,0,0,0,0
2025,1,LA,REG,HOU,21,29,245,1,0,3,-21,0,0,226,68,13,6.09010885696625,5.38151689938137,0,25,72,1,1,0,4,-6.28282254067017,0,21,28,245,1,1,1,226,68,13,9.37573702522786,0,0,38,2,26,3,37,1,3,37,7,1,0,4,0,0,0,0,1,2,1,1,0,7,60,2,2,21,2,60,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,2,2,0,0,1,0,0,0,0,0
2025,1,LAC,REG,KC,25,34,318,3,0,3,-14,0,0,342,134,16,17.5672621604546,5.7887679513763,0,25,90,0,0,0,6,-0.231396482329544,0,25,34,318,3,1,0,342,134,16,21.6565919762736,0,0,36,0,24,3,10,0,2,9,8,0,0,4,0,0,0,0,0,0,0,0,0,6,49,1,0,0,3,67,2,2,0,0,39,1,0,0,2,0,0,0,0,0,0,0,0,0,39;36,,,75,0,0,3,3,0,0,1,0,0,0,0,0
2025,1,LV,REG,NE,24,34,362,1,1,4,-29,0,0,350,140,17,14.9453278145465,9.62019002798832,0,24,56,1,0,0,3,-7.36779768340316,0,24,33,362,1,0,0,350,140,17,20.0204929265467,0,0,40,2,34,6,18,1,4,11,9,1,0,4,0,0,0,0,0,0,0,0,0,9,77,5,1,13,3,96,2,3,1,0,51,0.666666666666667,0,0,0,1,1,0,0,0,0,0,1,0,51;40,58,,91,58,0,2,2,0,0,1,0,0,0,0,0
2025,1,MIA,REG,IND,19,31,146,1,2,3,-13,1,1,234,79,9,-16.1425692208721,-6.79955453641953,1,12,78,0,0,0,3,4.07183802803047,0,19,31,146,1,0,0,234,79,9,-7.43053810288245,1,0,44,3,35,4,17,0,1,10,2,0,0,4,0,0,0,0,0,0,0,0,0,3,15,5,0,0,7,169,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0
2025,1,MIN,REG,CHI,13,20,143,2,1,3,-9,0,0,117,68,5,-9.8162908989945,-3.26094061136246,1,26,120,1,0,0,6,0.795088827202562,0,13,20,143,2,0,0,117,68,5,-4.71552129001446,1,0,40,1,25,6,23,1,2,12,3,0,0,3,0,0,0,0,0,0,1,1,0,8,50,5,4,68,5,133,2,2,0,0,59,1,0,0,1,0,1,0,0,0,0,0,0,0,31;59,,,90,0,0,1,1,0,0,1,0,0,0,0,0
2025,1,NE,REG,LV,30,46,287,1,1,4,-11,1,0,353,114,15,-0.325632442913947,2.38844487402174,0,18,60,0,0,0,2,-4.16751966963056,0,30,45,287,1,0,0,353,114,15,5.51851919216177,0,0,35,6,30,10,30,0,4,29,9,1,1,5,0,0,0,0,1,1,0,0,0,8,70,5,2,16,4,111,2,3,1,0,44,0.666666666666667,0,0,1,1,0,0,0,0,0,1,0,0,35;44,40,,79,40,0,1,1,0,0,1,0,0,0,0,0
2025,1,NO,REG,ARI,27,46,214,0,0,1,-6,0,0,336,85,12,-3.94086112529551,-4.95850283925126,0,22,107,1,0,0,5,0.802369574113982,0,27,41,214,0,0,0,336,85,12,2.36205059698038,0,0,42,1,27,7,36,0,5,33,5,0,0,5,0,0,0,0,0,0,0,0,0,13,89,3,2,18,5,128,2,3,1,0,36,0.666666666666667,0,1,1,0,0,0,0,0,1,0,0,0,36;28,37,,64,37,0,1,1,0,0,1,0,0,0,0,0
2025,1,NYG,REG,WAS,17,37,168,0,0,2,-11,0,0,226,84,9,-11.39383654078,-13.4579011239111,0,23,74,0,1,0,4,-3.55586418003077,0,17,32,168,0,0,0,226,84,9,-4.41455702115824,0,0,31,1,39,3,14,0,3,21,5,0,0,3,0,0,0,0,1,1,0,0,0,6,35,5,3,24,2,41,2,2,0,0,55,1,0,1,0,0,1,0,0,0,0,0,0,0,21;55,,,76,0,0,0,0,0,0,,0,0,0,0,0
2025,1,NYJ,REG,PIT,16,22,218,1,0,1,-6,0,0,169,76,9,10.0539382236458,10.3964033580962,0,39,182,3,0,0,13,3.51246900028181,0,16,21,218,1,0,0,169,76,9,12.3841967562768,0,0,33,0,30,7,34,2,4,26,7,0,0,4,0,0,0,0,0,0,0,0,0,7,74,4,2,19,7,206,2,2,0,0,51,1,0,0,1,0,1,0,0,0,0,0,0,0,35;51,,,86,0,0,2,2,0,0,1,0,0,0,0,0
2025,1,PHI,REG,DAL,19,23,152,0,0,1,-8,0,0,112,61,6,1.59075203601721,21.8063087761402,0,38,158,3,0,0,14,6.04487540962873,0,19,20,152,0,0,0,112,61,6,5.75801030540357,0,0,32,2,26,3,8,1,0,0,1,0,0,6,0,0,0,0,0,0,1,1,0,9,110,3,0,0,2,32,1,1,0,0,58,1,0,0,0,0,1,0,0,0,0,0,0,0,58,,,58,0,0,3,3,0,0,1,0,0,0,0,0
2025,1,PIT,REG,NYJ,22,30,244,4,0,4,-26,0,0,139,173,14,10.2047552496334,6.35038090163264,0,20,53,0,1,0,2,-3.05086921411566,0,22,29,244,4,0,0,139,173,14,16.35746968674,0,0,45,5,25,6,20,1,1,6,6,0,0,4,0,0,0,0,2,2,1,1,0,4,26,4,0,0,6,165,2,2,0,0,60,1,0,0,0,0,1,1,0,0,0,0,0,0,56;60,,,116,0,0,4,4,0,0,1,0,0,0,0,0
2025,1,SEA,REG,SF,16,23,150,0,0,1,-4,1,1,197,47,7,-6.83103491103673,7.33964795416052,0,26,84,1,0,0,6,-2.97343687525835,0,16,22,150,0,2,1,197,47,7,-5.41983560641227,0,0,43,4,38,7,22,0,1,12,8,2,7,4,0,0,0,8,0,0,0,0,0,4,30,5,1,12,2,59,2,2,0,0,48,1,0,0,1,1,0,0,0,0,0,0,0,0,48;37,,,85,0,0,1,1,0,0,1,0,0,0,0,0
2025,1,SF,REG,SEA,26,35,277,2,2,1,-12,0,0,260,121,15,13.3298841572781,15.3414581628407,0,36,119,0,0,0,7,-5.45884066727012,0,26,34,277,2,0,0,260,121,15,16.5014382635658,0,0,36,1,19,7,21,2,1,4,2,0,0,3,0,1,0,0,1,1,2,2,0,9,61,2,4,39,2,40,1,3,1,1,32,0.333333333333333,0,0,1,0,0,0,0,1,0,0,0,0,32,27,36,32,27,36,2,2,0,0,1,0,0,0,0,0
2025,1,TB,REG,ATL,17,32,167,3,0,1,-8,0,0,334,45,10,5.76623440359527,-10.4013135035833,0,23,101,0,0,0,6,0.505999550048728,0,17,30,167,3,0,0,334,45,10,7.28503226733574,0,0,41,2,34,7,18,0,1,9,4,0,0,6,0,0,0,0,0,0,0,0,0,5,60,5,1,54,3,81,1,2,1,0,48,0.5,0,0,0,1,0,0,0,0,0,1,0,0,48,44,,48,44,0,2,3,1,0,0.666666666666667,0,0,0,0,0
2025,1,TEN,REG,DEN,12,28,112,0,0,6,-50,1,1,294,64,5,-13.3894584187878,-12.5970318317413,0,21,71,0,1,1,2,-9.17674626053992,0,12,25,112,0,0,0,294,64,5,-0.873451538442168,0,0,43,3,29,4,15,1,1,10,5,2,16,5,0,0,0,0,0,0,2,2,0,13,131,5,1,12,4,144,4,4,0,0,50,1,0,0,2,1,1,0,0,0,0,0,0,0,50;33;42;35,,,160,0,0,0,0,0,0,,0,0,0,0,0
2025,1,WAS,REG,NYG,19,30,233,1,0,3,-21,0,0,279,97,11,1.36475759616587,-1.28908434818531,0,32,220,2,0,0,11,7.8340493318392,0,19,29,233,1,0,0,279,97,11,8.10985203704331,0,0,31,2,28,7,19,1,2,11,8,0,0,7,0,0,0,0,0,0,0,0,0,12,89,6,2,0,3,86,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,3,3,0,0,1,0,0,0,0,0
2025,2,ARI,REG,CAR,17,25,220,1,1,1,-9,0,0,160,113,10,6.13976775861454,0.763731837272644,0,22,82,1,0,0,5,-0.170235732734567,0,17,25,220,1,0,0,160,113,10,8.40659436590147,0,0,44,2,30,6,33,1,3,25,10,1,4,9,0,0,0,0,0,0,1,1,1,12,96,3,1,29,4,87,2,2,0,0,47,1,0,1,0,1,0,0,0,0,0,0,0,0,29;47,,,76,0,0,3,3,0,0,1,0,0,0,0,0
2025,2,ATL,REG,MIN,13,21,135,0,0,3,-27,0,0,132,59,5,-3.24417159038731,-7.45016151950473,0,39,218,1,0,0,12,6.12384862778179,0,13,21,135,0,1,1,132,59,5,-3.90217427649205,0,0,29,0,28,5,29,1,6,38,11,2,0,4,0,0,0,0,0,0,2,2,0,5,29,4,0,0,1,21,5,5,0,0,54,1,0,1,3,0,1,0,0,0,0,0,0,0,38;29;33;33;54,,,187,0,0,1,1,0,0,1,0,0,0,0,0
2025,2,BAL,REG,CLE,19,29,225,4,0,3,-28,0,0,273,66,10,9.3427031262555,6.71361333557538,0,21,45,0,1,0,2,-3.09726037026849,0,19,28,225,4,0,0,273,66,10,14.2728374658134,0,0,41,3,27,7,22,1,2,11,9,1,61,5,0,0,0,5,1,1,1,1,1,6,28,4,1,23,3,79,2,2,0,0,43,1,0,0,1,1,0,0,0,0,0,0,0,0,43;32,,,75,0,0,5,5,0,0,1,0,0,0,0,0
2025,2,BUF,REG,NYJ,15,27,180,0,0,1,-1,0,0,146,105,9,0.272271557335453,-9.08146715164185,0,43,224,3,1,0,12,9.72542606380075,0,15,25,180,0,0,0,146,105,9,4.45493882618303,0,0,31,2,20,5,37,3,4,29,7,0,0,4,0,0,0,0,1,1,1,1,0,6,69,4,4,22,2,47,3,3,0,0,52,1,0,1,1,0,1,0,0,0,0,0,0,0,28;52;33,,,113,0,0,3,3,0,0,1,0,0,0,0,0
2025,2,CAR,REG,ARI,35,55,328,3,1,3,-25,1,1,375,150,19,3.23423290927314,-2.34936650069255,0,19,49,0,0,0,4,-4.65860741809569,0,35,53,328,3,0,0,375,150,19,14.7997658147302,0,0,31,1,23,4,17,0,1,9,4,1,0,5,0,0,0,0,0,0,0,0,0,7,83,5,1,12,5,113,1,1,0,0,27,1,0,1,0,0,0,0,0,0,0,0,0,0,27,,,27,0,0,1,1,0,0,1,0,0,0,0,0
2025,2,CHI,REG,DET,21,33,234,2,1,4,-29,0,0,337,87,11,-0.0692127942165826,-5.17697867118951,0,27,134,1,2,1,8,-10.5524119317706,0,21,33,234,2,0,0,337,87,11,6.59858487520251,0,0,38,4,24,4,15,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0,8,50,1,2,16,8,215,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,3,3,0,0,1,0,0,0,0,0
2025,2,CIN,REG,JAX,28,45,317,3,3,3,-15,0,0,360,131,17,-1.82821788815948,2.38318595775338,0,17,48,1,0,0,5,1.36242837438476,0,28,43,317,3,0,0,360,131,17,3.90774654385001,0,0,43,0,26,2,14,0,1,10,4,2,4,8,0,0,0,0,0,0,0,0,0,3,29,3,1,11,6,154,1,1,0,0,31,1,0,0,1,0,0,0,0,0,0,0,0,0,31,,,31,0,0,4,4,0,0,1,0,0,0,0,0
2025,2,CLE,REG,BAL,28,48,218,2,1,2,-11,1,1,312,96,10,-23.3165189045134,-0.200864527283645,0,22,115,0,0,0,7,4.38433192804223,0,28,41,218,2,0,0,312,96,10,-7.27729857316024,0,0,25,3,29,5,25,1,3,28,5,0,0,5,0,0,0,0,0,0,0,0,0,6,42,2,1,0,5,94,1,1,0,0,38,1,0,0,1,0,0,0,0,0,0,0,0,0,38,,,38,0,0,2,2,0,0,1,0,0,0,0,0
2025,2,DAL,REG,NYG,38,52,361,2,1,3,-18,0,0,350,147,18,10.0984876625821,2.10174121535741,0,28,135,2,1,0,9,0.998315426806414,0,38,52,361,2,0,0,350,147,18,14.754545577598,0,0,37,1,43,4,21,0,2,14,6,1,0,2,0,0,0,0,1,2,0,0,0,12,106,7,1,2,9,209,4,4,0,0,64,1,0,0,0,2,1,1,0,0,0,0,0,0,51;44;64;46,,,205,0,0,4,4,0,0,1,1,1,0,0,46
2025,2,DEN,REG,IND,22,30,206,3,1,0,0,0,0,147,123,11,8.34534348991849,0.991099774837494,0,24,118,1,0,0,7,2.01298982772278,0,22,30,206,3,0,0,147,123,11,8.34534348991849,0,0,43,0,36,3,17,0,1,10,6,0,0,5,0,0,0,0,0,0,0,0,0,8,83,3,0,0,5,122,0,1,1,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,,42,,0,42,0,4,4,0,0,1,0,0,0,0,0
2025,2,DET,REG,CHI,23,28,334,5,0,0,0,0,0,274,165,15,24.103420304086,14.9424163358552,0,30,177,2,0,0,10,-0.352986505496582,0,23,28,334,5,0,0,274,165,15,24.103420304086,0,0,45,1,25,5,30,1,4,29,4,1,0,5,0,0,0,0,0,0,1,1,0,3,28,3,3,19,2,48,1,2,1,0,34,0.5,0,0,1,0,0,0,0,0,0,0,1,0,34,55,,34,55,0,7,7,0,0,1,0,0,0,0,0
2025,2,GB,REG,WAS,19,31,292,2,0,2,-23,0,0,408,130,14,6.66238020994973,10.3657127530487,0,30,135,1,0,0,6,1.24246386095756,0,19,27,292,2,0,0,408,130,14,13.8389942144837,0,0,42,0,18,3,10,0,4,21,12,0,0,8,0,0,0,0,0,0,0,0,0,10,77,2,3,1,2,57,2,3,1,0,56,0.666666666666667,0,1,0,0,1,0,0,0,0,1,0,0,22;56,48,,78,48,0,3,3,0,0,1,0,0,0,0,0
2025,2,HOU,REG,TB,13,24,207,1,0,3,-25,0,0,195,124,7,-4.48148261652589,-9.78683064813199,0,19,84,1,0,0,3,1.47346493951045,0,13,23,207,1,0,0,195,124,7,3.69563966925274,0,0,50,3,15,6,26,1,4,24,6,0,0,3,0,0,0,1,0,0,0,0,0,6,45,2,3,67,4,107,2,2,0,0,53,1,0,0,1,0,1,0,0,0,0,0,0,0,35;53,,,88,0,0,1,1,0,0,1,0,0,0,0,0
2025,2,IND,REG,DEN,23,34,316,1,0,1,-10,0,0,329,131,16,10.9533862605969,4.97392605651509,0,32,167,1,0,0,6,-0.895030925050206,0,23,33,316,1,0,0,329,131,16,13.85934270566,0,0,34,2,22,5,8,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,11,68,4,2,4,5,140,5,5,0,0,45,1,0,2,2,1,0,0,0,0,0,0,0,0,29;33;36;28;45,,,171,0,0,2,2,0,0,1,1,1,0,0,45
2025,2,JAX,REG,CIN,24,42,271,3,2,1,-10,0,0,308,153,15,5.0054885520572,-4.9823465143762,0,27,139,0,1,0,6,1.50017687892827,0,24,41,271,3,0,0,308,153,15,5.67437281557663,0,0,37,2,24,6,19,0,3,15,9,3,73,12,0,0,0,0,1,1,0,0,0,6,55,5,2,19,4,101,2,2,0,0,42,1,0,1,0,1,0,0,0,0,0,0,0,0,42;25,,,67,0,0,3,3,0,0,1,0,0,0,0,0
2025,2,KC,REG,PHI,16,29,187,1,1,2,-14,0,0,309,68,7,-7.1535654113225,-5.8410676388905,0,26,121,1,1,0,9,-0.55819323484677,0,16,29,187,1,0,0,309,68,7,-3.53753508790396,0,0,37,0,30,5,11,0,1,4,3,0,0,4,0,0,0,0,1,1,0,0,0,6,45,4,2,42,4,95,1,2,1,0,56,0.5,0,0,0,0,1,0,0,0,0,0,1,0,56,58,,56,58,0,2,2,0,0,1,0,0,0,0,0
2025,2,LA,REG,TEN,23,33,298,2,1,1,-8,0,0,262,132,12,9.77997058962696,10.7653565704823,0,25,149,2,0,0,8,6.44117178957094,0,23,32,298,2,0,0,262,132,12,11.9394507078197,0,0,41,5,23,6,33,1,5,32,8,0,0,4,0,0,0,0,1,1,1,1,0,4,29,5,2,14,3,80,2,2,0,0,21,1,0,2,0,0,0,0,0,0,0,0,0,0,21;21,,,42,0,0,3,4,0,1,0.75,0,0,0,0,0
2025,2,LAC,REG,LV,19,27,242,2,0,2,-6,0,0,244,84,8,10.1681254122919,0.331745986585264,0,26,81,0,2,1,8,-15.5455115257418,0,19,27,242,2,0,0,244,84,8,12.5885782468645,0,0,38,3,23,6,45,0,3,30,5,3,8,15,0,0,0,0,1,3,0,0,0,6,33,3,1,7,3,80,2,2,0,0,38,1,0,1,1,0,0,0,0,0,0,0,0,0,38;20,,,58,0,0,2,2,0,0,1,0,0,0,0,0
2025,2,LV,REG,LAC,24,43,180,0,3,3,-30,0,0,291,145,8,-23.0679281401796,-15.2583654536757,0,19,68,0,0,0,5,-2.40448387246579,0,24,43,180,0,0,0,291,145,8,-15.4001448451519,0,0,34,4,24,8,20,0,2,6,3,0,0,6,0,0,0,0,1,1,1,1,0,5,47,5,1,15,4,91,3,3,0,0,54,1,0,0,1,1,1,0,0,0,0,0,0,0,54;40;37,,,131,0,0,0,0,0,0,,0,0,0,0,0
2025,2,MIA,REG,NE,26,32,315,2,1,5,-18,0,0,251,145,15,9.932129502697,13.7456484138966,0,15,61,0,0,0,1,-1.09822814585641,0,26,32,315,2,0,0,251,145,15,16.3731073631996,0,1,32,2,32,4,25,0,3,19,3,0,0,2,0,0,0,0,0,0,0,0,0,10,65,5,2,93,6,128,2,2,0,0,44,1,0,0,0,2,0,0,0,0,0,0,0,0,40;44,,,84,0,0,3,3,0,0,1,0,0,0,0,0
